op,semi,k,side,n_reps,mean_ms,std_ms,min_ms,max_ms,mean_plan_ms,std_plan_ms,mean_total_ms,std_total_ms,rows
<=,prob,10,join,3,3107.917,2.393,3105.726,3110.471,184.469,5.994,3292.386,5.376,2529
<=,prob,11,having,3,431.811,6.192,425.018,437.139,3.118,0.662,434.929,6.831,2529
<=,prob,11,having_NS,3,472.462,19.598,459.718,495.029,2.676,0.095,475.138,19.531,2529
<=,prob,11,join,3,3043.281,5.107,3039.134,3048.985,530.485,5.788,3573.767,9.224,2529
<=,prob,12,having,3,439.290,5.955,435.782,446.166,3.559,1.025,442.849,6.773,2529
<=,prob,12,having_NS,3,452.092,7.695,443.924,459.205,2.030,0.543,454.122,7.894,2529
<=,prob,12,join,3,2997.304,11.860,2983.644,3004.980,1548.422,4.440,4545.727,13.419,2529
<=,prob,13,having,3,429.724,10.449,420.541,441.093,2.553,1.033,432.276,9.431,2529
<=,prob,13,having_NS,3,434.686,14.500,420.581,449.552,2.561,0.390,437.248,14.444,2529
<=,prob,13,join,3,3038.819,3.631,3034.627,3040.980,4669.648,3.224,7708.467,2.697,2529
<=,prob,14,having,3,457.800,29.119,424.177,474.696,2.211,0.360,460.012,29.446,2529
<=,prob,14,having_NS,3,442.534,15.610,431.728,460.431,2.126,0.628,444.660,16.235,2529
<=,prob,14,join,3,3030.202,8.709,3021.270,3038.670,14627.836,12.886,17658.038,19.491,2529
<=,prob,15,having,3,429.356,8.679,420.859,438.207,2.611,0.080,431.967,8.727,2529
<=,prob,15,having_NS,3,424.945,4.031,421.489,429.373,2.579,0.661,427.524,4.596,2529
<=,prob,15,join,3,3023.686,26.827,2998.254,3051.719,46758.701,41.028,49782.388,67.853,2529
>=,formula,0,having,3,577.666,19.547,563.327,599.931,2.355,0.870,580.021,20.383,2529
>=,formula,0,join,3,167.275,2.238,164.795,169.145,0.706,0.091,167.981,2.261,2529
>=,formula,1,having,3,563.494,20.194,542.331,582.555,2.360,0.646,565.853,19.704,2529
>=,formula,1,join,3,175.598,8.194,169.508,184.914,1.757,0.693,177.355,7.501,2529
>=,formula,2,having,3,348.214,11.684,340.070,361.601,3.746,1.398,351.960,13.069,191
>=,formula,2,join,3,65.907,5.815,59.886,71.491,2.503,1.349,68.410,6.939,191
>=,formula,3,having,3,339.445,5.042,336.418,345.266,2.849,0.586,342.294,4.540,46
>=,formula,3,join,3,109.534,5.904,105.538,116.315,1.364,0.257,110.898,6.157,46
>=,formula,4,having,3,313.763,2.388,311.038,315.495,1.819,0.399,315.582,2.702,21
>=,formula,4,join,3,302.684,1.571,300.879,303.746,2.268,0.964,304.952,1.955,21
>=,formula,5,having,3,302.860,5.035,298.483,308.363,3.015,1.601,305.875,6.630,14
>=,formula,5,join,3,489.454,9.950,478.726,498.380,3.688,1.495,493.142,9.500,14
>=,formula,6,having,3,294.312,9.162,286.881,304.549,2.570,0.135,296.882,9.267,12
>=,formula,6,join,3,935.966,2.957,933.565,939.269,7.768,2.139,943.734,4.415,12
>=,formula,7,having,3,262.192,3.375,259.283,265.893,2.049,0.468,264.241,3.782,10
>=,formula,7,join,3,1386.438,0.871,1385.483,1387.187,9.780,1.162,1396.218,0.317,10
>=,formula,8,having,3,239.549,2.901,236.253,241.712,2.376,0.884,241.925,3.506,8
>=,formula,8,join,3,1812.300,13.266,1797.215,1822.149,18.961,2.772,1831.261,15.022,8
>=,formula,9,having,3,223.266,4.670,218.028,226.996,2.452,0.588,225.718,4.715,5
>=,formula,9,join,3,2287.248,2.783,2284.037,2288.957,39.489,3.663,2326.737,1.017,5
>=,formula,10,having,3,240.768,7.106,232.946,246.825,4.340,0.987,245.108,7.114,5
>=,formula,10,join,3,2662.485,5.814,2657.901,2669.025,98.938,2.712,2761.423,7.978,5
>=,formula,11,having,3,217.726,8.333,208.104,222.575,2.481,0.198,220.207,8.233,5
>=,formula,11,join,3,2909.443,9.158,2899.515,2917.562,265.821,7.720,3175.264,11.334,5
>=,formula,12,having,3,213.996,5.807,209.126,220.422,2.256,0.633,216.252,6.361,3
>=,formula,12,join,3,2891.537,0.914,2890.862,2892.577,738.977,1.396,3630.514,1.946,3
>=,formula,13,having,3,230.782,20.910,208.025,249.148,2.019,0.552,232.802,20.947,2
>=,formula,13,join,3,2858.285,5.076,2852.424,2861.250,2141.059,22.524,4999.344,23.769,2
>=,formula,14,having,3,210.793,6.005,206.977,217.715,2.559,0.174,213.352,6.071,0
>=,formula,14,join,3,2854.575,3.814,2850.270,2857.534,6345.946,3.037,9200.521,0.812,0
>=,formula,15,having,3,209.829,4.934,204.131,212.711,2.566,1.353,212.394,5.917,0
>=,formula,15,join,3,2870.290,7.561,2865.482,2879.006,19710.733,219.211,22581.023,213.761,0
>=,prob,0,having,3,454.567,8.206,445.627,461.757,1.995,0.531,456.562,8.510,2529
>=,prob,0,having_NS,3,425.665,8.387,416.537,433.031,2.381,0.435,428.046,8.744,2529
>=,prob,0,join,3,181.603,2.003,180.163,183.891,1.677,0.955,183.280,1.771,2529
>=,prob,1,having,3,433.088,14.165,421.957,449.032,3.095,1.611,436.182,15.775,2529
>=,prob,1,having_NS,3,470.880,15.376,460.415,488.533,1.992,0.532,472.872,15.070,2529
>=,prob,1,join,3,179.462,7.210,172.698,187.047,1.462,0.420,180.924,7.300,2529
>=,prob,2,having,3,229.960,10.831,221.787,242.244,1.899,0.534,231.859,10.428,191
>=,prob,2,having_NS,3,273.904,15.465,261.379,291.189,3.174,0.631,277.078,15.451,191
>=,prob,2,join,3,66.968,4.204,64.505,71.823,1.469,0.225,68.437,4.134,191
>=,prob,3,having,3,208.314,5.648,201.873,212.423,2.970,1.670,211.284,6.813,46
>=,prob,3,having_NS,3,240.244,1.016,239.158,241.172,3.710,1.442,243.954,1.145,46
>=,prob,3,join,3,146.207,11.778,137.776,159.664,2.787,1.617,148.993,11.333,46
>=,prob,4,having,3,204.137,3.310,201.933,207.943,2.173,1.178,206.310,4.483,21
>=,prob,4,having_NS,3,237.369,6.006,233.525,244.290,2.405,0.305,239.774,5.703,21
>=,prob,4,join,3,385.157,4.188,381.593,389.769,2.268,0.984,387.425,4.933,21
>=,prob,5,having,3,207.836,10.301,199.518,219.359,2.455,0.882,210.292,11.095,14
>=,prob,5,having_NS,3,228.653,1.285,227.328,229.895,2.273,0.289,230.925,1.322,14
>=,prob,5,join,3,762.147,6.159,755.118,766.599,2.911,0.852,765.058,6.570,14
>=,prob,6,having,3,207.420,2.290,205.437,209.927,2.483,0.364,209.903,2.652,12
>=,prob,6,having_NS,3,230.240,2.027,229.014,232.579,2.542,0.682,232.782,1.370,12
>=,prob,6,join,3,2909.399,11.318,2899.420,2921.696,5.445,2.497,2914.844,10.939,12
>=,prob,7,having,3,211.551,6.282,207.383,218.776,2.667,0.525,214.218,5.911,10
>=,prob,7,having_NS,3,235.686,17.519,215.631,248.009,2.446,0.877,238.133,17.451,10
>=,prob,7,join,3,3669.194,21.810,3644.567,3686.067,8.435,2.998,3677.629,24.801,10
>=,prob,8,having,3,201.028,2.482,198.697,203.638,2.378,0.582,203.406,2.599,8
>=,prob,8,having_NS,3,214.028,4.334,211.100,219.007,2.610,1.179,216.638,5.496,8
>=,prob,8,join,3,2426.452,21.780,2411.245,2451.402,16.043,3.931,2442.495,25.123,8
>=,prob,9,having,3,222.360,4.038,218.149,226.200,2.565,0.518,224.925,3.541,5
>=,prob,9,having_NS,3,235.626,2.991,232.674,238.654,1.924,0.750,237.550,2.377,5
>=,prob,9,join,3,2616.208,22.291,2600.232,2641.673,30.842,2.657,2647.050,24.421,5
>=,prob,10,having,3,227.079,3.661,222.851,229.228,2.485,0.943,229.564,3.617,5
>=,prob,10,having_NS,3,206.838,4.584,202.395,211.551,3.408,0.786,210.245,4.629,5
>=,prob,10,join,3,2538.213,5.646,2534.121,2544.654,67.547,3.940,2605.761,5.593,5
>=,prob,11,having,3,216.347,12.579,205.683,230.220,3.981,1.150,220.328,12.961,5
>=,prob,11,having_NS,3,218.114,12.094,210.434,232.055,3.067,0.620,221.180,11.878,5
>=,prob,11,join,3,2792.425,9.680,2784.311,2803.140,190.437,7.465,2982.862,16.973,5
>=,prob,12,having,3,212.819,9.984,206.955,224.347,3.031,0.693,215.850,9.323,3
>=,prob,12,having_NS,3,205.635,2.410,202.900,207.444,2.396,0.791,208.032,3.167,3
>=,prob,12,join,3,2904.278,4.743,2899.893,2909.312,527.066,3.447,3431.344,6.291,3
>=,prob,13,having,3,210.003,11.743,199.626,222.751,1.709,0.306,211.713,11.686,2
>=,prob,13,having_NS,3,202.700,4.122,198.196,206.286,4.125,1.413,206.825,5.397,2
>=,prob,13,join,3,2845.900,1.608,2844.971,2847.757,1551.609,4.775,4397.509,3.424,2
>=,prob,14,having,3,204.557,4.070,201.910,209.243,3.094,0.579,207.651,3.873,0
>=,prob,14,having_NS,3,203.918,2.841,201.875,207.163,1.706,0.352,205.625,2.626,0
>=,prob,14,join,3,2871.072,6.765,2863.844,2877.252,4677.845,12.883,7548.916,10.137,0
>=,prob,15,having,3,209.593,2.868,207.482,212.858,2.144,0.521,211.737,2.351,0
>=,prob,15,having_NS,3,200.760,4.945,197.678,206.463,1.896,0.158,202.656,5.081,0
>=,prob,15,join,3,2859.547,5.116,2855.007,2865.090,14695.079,24.977,17554.626,28.962,0
